ID	Day	Empty	Multiple	Dead.Stain..intensity.	Total.Reads	Uniquely Aligned
d0_Col_03_Row_11	0	FALSE	FALSE	66.511	615333	313518
d0_Col_03_Row_12	0	FALSE	FALSE	66.687	434322	228393
d0_Col_03_Row_13	0	FALSE	FALSE	66.699	624272	315586
d0_Col_03_Row_14	0	FALSE	FALSE	66.874	387319	201791
d0_Col_03_Row_15	0	FALSE	FALSE	67.208	159003	85937
d0_Col_03_Row_16	0	FALSE	FALSE	66.321	593785	290044
d0_Col_03_Row_17	0	FALSE	FALSE	66.273	671169	340503
d0_Col_03_Row_18	0	FALSE	FALSE	66.373	683201	360749
d0_Col_03_Row_19	0	FALSE	FALSE	66.885	515605	267678
d0_Col_03_Row_20	0	FALSE	FALSE	66.673	795363	423366
d0_Col_03_Row_21	0	FALSE	FALSE	67.298	479616	238479
d0_Col_03_Row_22	0	FALSE	FALSE	66.234	491766	259230
d0_Col_03_Row_23	0	FALSE	FALSE	66.581	507243	266429
d0_Col_03_Row_24	0	FALSE	FALSE	66.965	564478	292994
d0_Col_03_Row_25	0	FALSE	FALSE	66.436	386494	195103
d0_Col_03_Row_26	0	FALSE	FALSE	66.563	162014	92390
d0_Col_03_Row_27	0	FALSE	FALSE	67.73	487430	242602
d0_Col_03_Row_28	0	FALSE	FALSE	66.036	417957	215960
d0_Col_03_Row_29	0	FALSE	FALSE	155.372	68191	39168
d0_Col_03_Row_30	0	FALSE	FALSE	66.368	425023	220774
d0_Col_03_Row_31	0	FALSE	FALSE	66.503	588994	294622
d0_Col_03_Row_32	0	FALSE	FALSE	66.382	559438	299687
d0_Col_03_Row_33	0	FALSE	FALSE	66.866	667627	345269
d0_Col_03_Row_34	0	FALSE	FALSE	68.263	613955	318025
d0_Col_03_Row_35	0	FALSE	FALSE	66.584	338961	173306
d0_Col_03_Row_36	0	FALSE	FALSE	70.477	611975	303872
d0_Col_03_Row_37	0	FALSE	FALSE	140.041	60773	24639
d0_Col_03_Row_38	0	FALSE	FALSE	66.533	859684	454046
d0_Col_03_Row_39	0	FALSE	FALSE	66.416	650363	332818
d0_Col_03_Row_40	0	FALSE	FALSE	66.241	492505	246099
d0_Col_04_Row_1	0	FALSE	FALSE	142.483	26240	11891
d0_Col_04_Row_2	0	FALSE	FALSE	67.181	474250	236541
d0_Col_04_Row_3	0	FALSE	FALSE	66.588	484988	243175
d0_Col_04_Row_4	0	FALSE	FALSE	67.238	43519	18430
d0_Col_04_Row_5	0	FALSE	FALSE	68.484	180161	87786
d0_Col_04_Row_6	0	FALSE	FALSE	66.217	482173	241948
d0_Col_04_Row_7	0	FALSE	FALSE	206.173	69559	31357
d0_Col_04_Row_8	0	TRUE	FALSE	67.131	27219	13243
d0_Col_04_Row_9	0	FALSE	FALSE	66.589	635301	322700
d0_Col_04_Row_10	0	FALSE	FALSE	66.602	567452	296779
d0_Col_04_Row_11	0	TRUE	FALSE	65.985	59545	29072
d0_Col_04_Row_12	0	FALSE	FALSE	66.435	614232	317687
d0_Col_04_Row_13	0	FALSE	FALSE	73.946	141878	70108
d0_Col_04_Row_14	0	FALSE	FALSE	66.677	466143	242813
d0_Col_04_Row_15	0	FALSE	FALSE	66.408	704141	357283
d0_Col_04_Row_16	0	FALSE	FALSE	67.905	332012	168866
d0_Col_04_Row_17	0	FALSE	FALSE	66.318	486173	244716
d0_Col_04_Row_18	0	FALSE	FALSE	66.297	334089	161098
d0_Col_04_Row_19	0	FALSE	FALSE	67.118	390660	190276
d0_Col_04_Row_20	0	FALSE	FALSE	67.547	55564	20429
d0_Col_04_Row_21	0	FALSE	FALSE	66.789	303763	167941
d0_Col_04_Row_22	0	FALSE	FALSE	66.492	438226	231094
d0_Col_04_Row_23	0	FALSE	FALSE	67.046	473648	242353
